age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
72,,94268,9,9,1,,1,1,1,0,0,8,1.0
71,3.0,229110,9,9,5,3.0,6,1,0,0,0,33,1.0
20,5.0,43587,9,9,6,10.0,2,1,0,0,0,35,1.0
26,1.0,162312,10,10,2,4.0,2,3,1,0,0,20,4.0
25,1.0,190107,13,13,2,2.0,3,1,1,0,0,40,1.0
34,1.0,418020,16,16,1,1.0,1,1,1,0,0,50,1.0
46,1.0,31432,9,9,1,4.0,5,1,0,3103,0,52,1.0
48,1.0,168262,13,13,1,5.0,1,1,1,0,0,25,1.0
18,7.0,201686,7,7,2,7.0,3,1,1,0,0,4,1.0
30,1.0,243867,10,10,2,1.0,2,2,1,0,0,45,1.0
31,7.0,194141,11,11,1,9.0,1,1,1,0,0,40,1.0
29,1.0,156266,12,12,2,3.0,3,4,1,0,0,25,1.0
55,1.0,282753,3,3,3,6.0,4,2,1,0,0,25,1.0
23,1.0,314539,9,9,1,5.0,1,1,1,0,0,40,1.0
36,1.0,239409,9,9,3,11.0,2,1,1,0,0,50,1.0
36,1.0,232874,13,13,1,12.0,1,1,1,0,0,40,1.0
22,1.0,234970,10,10,2,6.0,3,2,0,0,0,40,
20,5.0,163911,10,10,2,10.0,3,1,0,0,0,40,1.0
38,1.0,170174,9,9,2,1.0,2,1,1,0,0,60,1.0
37,1.0,202027,14,14,1,4.0,1,1,1,7688,0,50,1.0
52,1.0,158583,10,10,3,12.0,2,1,0,0,0,36,1.0
33,1.0,194740,8,8,1,8.0,1,1,1,0,0,40,1.0
25,1.0,120238,9,9,6,7.0,2,1,1,0,0,40,19.0
33,4.0,171151,9,9,2,4.0,2,2,0,0,0,40,1.0
29,1.0,190350,8,8,2,6.0,4,2,0,0,0,35,3.0
24,1.0,32921,10,10,2,11.0,3,1,1,0,0,50,1.0
31,1.0,301637,11,11,2,11.0,3,1,1,0,0,40,1.0
23,1.0,131275,9,9,2,2.0,3,4,1,0,0,40,1.0
27,7.0,188343,9,9,4,3.0,4,2,0,0,0,40,1.0
20,1.0,127185,10,10,2,1.0,3,1,0,0,0,15,1.0
21,1.0,209483,10,10,2,5.0,3,1,0,0,0,20,1.0
29,1.0,42881,13,13,1,3.0,5,1,0,0,0,40,1.0
34,1.0,50276,13,13,2,5.0,2,1,1,27828,0,40,1.0
36,1.0,225399,9,9,1,2.0,1,1,1,7298,0,40,1.0
22,1.0,299047,10,10,2,4.0,3,1,0,0,0,30,1.0
30,1.0,169269,7,7,2,9.0,6,1,1,0,1721,38,6.0
25,1.0,69739,6,6,2,7.0,3,1,1,0,0,40,23.0
48,1.0,25468,14,14,3,3.0,2,1,1,99999,0,50,1.0
21,5.0,494638,12,12,2,10.0,3,1,1,0,0,15,1.0
31,1.0,34374,15,15,2,1.0,2,1,1,0,0,50,1.0
22,1.0,53702,6,6,1,9.0,1,1,1,0,0,40,1.0
29,1.0,157308,7,7,1,9.0,5,3,0,2829,0,14,4.0
41,,155041,9,9,2,,3,1,0,3418,0,40,1.0
23,1.0,115326,10,10,2,5.0,3,1,0,0,0,20,1.0
65,6.0,81413,9,9,1,11.0,1,1,1,0,2352,65,1.0
36,1.0,182074,9,9,2,9.0,3,1,1,0,0,40,1.0
53,1.0,130143,9,9,1,7.0,1,1,1,0,0,48,1.0
38,1.0,183585,9,9,2,1.0,2,1,0,0,0,40,1.0
45,1.0,190115,12,12,3,3.0,4,1,1,0,0,40,1.0
40,1.0,192878,6,6,3,7.0,2,1,1,0,0,40,1.0
25,1.0,50103,9,9,2,5.0,4,1,0,0,0,40,1.0
41,1.0,220694,13,13,3,6.0,2,1,1,0,0,37,1.0
42,2.0,177307,15,15,1,11.0,1,1,1,0,0,65,1.0
32,2.0,151868,9,9,1,11.0,1,1,1,5013,0,65,1.0
29,1.0,337953,11,11,1,5.0,1,1,1,2885,0,40,1.0
87,,97295,9,9,5,,2,1,0,0,0,3,1.0
30,2.0,173854,9,9,1,2.0,1,1,1,0,0,60,1.0
28,1.0,258862,11,11,1,7.0,5,1,0,0,0,18,1.0
46,3.0,60751,11,11,1,3.0,1,1,1,0,0,40,1.0
51,2.0,174824,9,9,2,11.0,2,1,1,8614,0,40,1.0
31,1.0,223327,9,9,1,3.0,1,1,1,0,0,40,1.0
17,1.0,355559,8,8,2,1.0,3,1,1,0,0,18,1.0
62,1.0,147627,5,5,2,14.0,2,2,0,1055,0,22,1.0
55,1.0,175942,16,16,1,1.0,1,1,1,0,1977,55,3.0
52,1.0,114062,9,9,3,2.0,4,1,0,0,0,40,1.0
55,1.0,204816,10,10,1,3.0,1,1,1,0,0,40,1.0
31,6.0,256362,13,13,1,5.0,1,1,1,3908,0,50,1.0
47,1.0,189680,13,13,2,5.0,3,1,1,0,0,40,1.0
27,5.0,61387,13,13,1,10.0,1,1,1,0,0,15,1.0
23,1.0,224716,10,10,2,5.0,2,1,1,0,0,35,1.0
72,1.0,76206,5,5,1,5.0,1,1,1,0,0,16,1.0
29,,51260,9,9,2,,2,2,1,0,0,40,1.0
41,1.0,193882,9,9,1,3.0,1,1,1,15024,0,65,1.0
31,1.0,118941,10,10,3,6.0,3,1,0,0,0,20,1.0
26,1.0,162302,10,10,2,7.0,2,3,1,0,0,40,4.0
34,4.0,189843,9,9,1,4.0,1,1,1,0,0,40,1.0
61,3.0,195519,14,14,2,1.0,4,1,0,0,0,25,1.0
44,4.0,321824,9,9,1,13.0,1,1,1,0,0,38,1.0
41,3.0,47858,13,13,1,13.0,1,1,1,0,0,40,1.0
31,1.0,377374,10,10,3,4.0,4,2,0,0,0,40,17.0
22,1.0,216867,3,3,1,2.0,1,1,1,0,0,48,2.0
21,1.0,191460,7,7,2,6.0,4,2,0,0,0,40,1.0
23,1.0,148709,9,9,4,9.0,6,1,0,0,0,40,1.0
42,1.0,142424,11,11,2,4.0,2,1,0,0,0,40,1.0
52,6.0,334273,16,16,1,1.0,1,1,1,99999,0,65,1.0
21,1.0,199915,10,10,2,6.0,3,1,0,0,0,40,1.0
24,1.0,114873,9,9,2,13.0,2,5,1,0,0,40,1.0
52,1.0,210736,10,10,1,3.0,1,1,1,3103,0,55,1.0
23,1.0,98283,13,13,2,3.0,3,3,1,0,0,40,1.0
27,1.0,159724,13,13,2,3.0,2,1,0,0,0,40,1.0
48,1.0,107373,6,6,1,8.0,1,1,1,0,0,40,1.0
34,1.0,316470,10,10,2,4.0,2,1,1,0,0,40,1.0
48,4.0,185859,13,13,1,3.0,1,1,1,0,0,38,1.0
35,1.0,191103,9,9,1,5.0,1,1,1,0,0,40,1.0
35,1.0,234962,9,9,2,7.0,6,1,1,0,0,40,2.0
33,1.0,198660,13,13,1,5.0,1,1,1,0,0,50,1.0
39,3.0,218490,12,12,1,2.0,1,1,1,0,0,40,1.0
24,1.0,295073,9,9,2,9.0,2,2,1,0,0,50,1.0
37,1.0,67433,9,9,1,4.0,5,1,0,0,0,40,1.0
33,1.0,196385,13,13,1,3.0,1,1,1,0,1977,40,1.0
20,1.0,238917,9,9,2,2.0,6,1,1,0,0,40,8.0
51,2.0,136708,9,9,1,5.0,1,3,1,3103,0,84,20.0
19,,455665,9,9,2,,3,1,1,0,0,44,1.0
28,1.0,129814,10,10,4,2.0,4,1,1,0,0,50,1.0
37,2.0,216473,6,6,1,2.0,1,1,1,0,0,30,1.0
45,1.0,107682,14,14,3,3.0,2,1,0,0,0,40,1.0
32,6.0,343872,10,10,1,8.0,1,2,1,0,0,35,22.0
56,1.0,220187,10,10,1,5.0,1,1,1,0,0,45,1.0
38,5.0,104094,10,10,1,10.0,1,1,1,0,0,15,1.0
44,6.0,359259,9,9,3,2.0,2,1,1,0,0,60,23.0
25,1.0,129806,9,9,1,7.0,1,1,1,0,0,48,1.0
33,4.0,73296,9,9,2,6.0,4,2,0,1831,0,40,1.0
46,1.0,122194,10,10,1,2.0,5,1,0,7298,0,40,1.0
56,1.0,93211,9,9,5,6.0,4,1,0,0,0,40,7.0
42,1.0,270710,5,5,3,6.0,4,1,0,0,0,40,1.0
33,1.0,204494,10,10,1,3.0,1,1,1,0,0,56,1.0
37,4.0,318891,10,10,3,4.0,4,1,0,0,0,40,1.0
23,1.0,32950,10,10,2,9.0,3,1,1,0,0,40,1.0
26,1.0,164488,13,13,2,1.0,2,1,1,13550,0,50,1.0
40,2.0,27242,9,9,1,11.0,1,1,1,0,0,84,1.0
21,1.0,188073,9,9,2,7.0,3,2,0,0,0,40,1.0
40,,246862,13,13,5,,2,1,0,0,0,8,1.0
30,1.0,378009,9,9,2,7.0,3,1,1,0,0,40,1.0
65,1.0,264188,9,9,5,5.0,2,1,0,0,0,24,1.0
37,,70282,9,9,2,,2,2,0,0,0,40,1.0
46,1.0,272792,13,13,3,2.0,2,2,0,0,0,40,1.0
47,1.0,121124,13,13,1,2.0,1,1,1,15024,0,50,1.0
59,1.0,143372,6,6,3,4.0,2,2,0,0,0,40,1.0
20,1.0,381357,5,5,2,9.0,3,1,1,0,0,28,1.0
30,3.0,169020,13,13,1,1.0,1,1,1,0,0,40,1.0
41,1.0,223548,2,2,1,7.0,1,1,1,0,0,40,2.0
74,2.0,104001,9,9,1,5.0,1,1,1,0,0,40,1.0
46,7.0,227310,10,10,2,4.0,4,2,0,0,0,40,1.0
61,2.0,48846,16,16,1,1.0,1,1,1,0,0,55,1.0
30,1.0,19847,10,10,3,12.0,3,1,0,0,0,40,1.0
42,3.0,96524,9,9,1,3.0,1,1,1,0,0,60,1.0
34,1.0,258170,9,9,3,3.0,4,1,0,0,0,38,1.0
46,1.0,138626,10,10,1,2.0,1,1,1,0,0,40,1.0
28,3.0,50512,13,13,2,1.0,2,1,0,2202,0,50,1.0
25,1.0,321223,10,10,3,6.0,2,1,0,0,0,20,1.0
58,6.0,100960,9,9,1,5.0,1,1,1,0,0,50,1.0
34,1.0,169564,9,9,3,7.0,4,1,0,0,0,40,1.0
26,1.0,236008,11,11,3,1.0,4,1,0,0,0,40,1.0
31,1.0,225507,11,11,2,6.0,4,1,0,0,0,40,1.0
39,7.0,103984,13,13,3,3.0,4,2,0,0,0,40,1.0
22,,228686,10,10,3,,3,1,1,0,1602,25,1.0
40,1.0,193494,9,9,1,9.0,1,1,1,0,0,46,1.0
23,1.0,105577,10,10,2,14.0,2,1,0,0,0,26,1.0
43,1.0,86750,11,11,1,2.0,1,1,1,0,0,99,1.0
45,3.0,149337,14,14,1,1.0,1,1,1,0,0,40,15.0
54,1.0,99185,13,13,1,1.0,1,1,1,0,1977,40,1.0
20,3.0,37932,10,10,2,9.0,2,1,1,0,0,40,1.0
39,1.0,149943,14,14,2,5.0,2,3,1,0,0,40,12.0
38,1.0,249039,12,12,1,12.0,1,1,1,3103,0,40,1.0
46,4.0,135854,9,9,1,6.0,1,2,1,0,0,40,1.0
35,1.0,193094,9,9,2,1.0,4,1,0,0,0,35,1.0
20,1.0,42706,10,10,2,11.0,2,1,1,0,0,72,1.0
62,1.0,81116,10,10,3,4.0,2,1,1,0,1974,40,1.0
37,1.0,112264,9,9,1,8.0,1,1,1,0,0,40,1.0
42,1.0,219288,4,4,5,2.0,4,1,1,0,0,40,1.0
27,1.0,202206,7,7,4,11.0,6,1,1,0,0,40,6.0
60,1.0,151369,14,14,1,3.0,1,1,1,0,0,60,1.0
44,4.0,87282,13,13,2,1.0,2,3,0,0,0,38,1.0
47,7.0,326048,9,9,1,2.0,1,1,1,0,0,40,1.0
20,1.0,132320,10,10,4,2.0,2,1,1,0,0,40,1.0
26,2.0,253899,13,13,3,5.0,2,1,1,0,0,40,1.0
23,1.0,50341,14,14,2,5.0,2,1,0,0,0,20,1.0
67,5.0,184506,7,7,1,10.0,1,1,1,0,419,3,1.0
39,3.0,170263,14,14,3,1.0,4,1,0,0,0,30,1.0
25,1.0,252752,10,10,2,8.0,2,1,0,0,0,45,1.0
47,1.0,284916,9,9,1,5.0,1,1,1,7298,0,45,1.0
61,1.0,40269,10,10,1,5.0,1,1,1,0,0,40,1.0
39,1.0,230329,13,13,1,5.0,1,1,1,0,0,40,7.0
54,1.0,108435,9,9,1,4.0,1,1,1,0,0,20,1.0
41,5.0,344572,9,9,3,10.0,4,1,0,0,0,40,1.0
27,1.0,99897,10,10,1,2.0,1,1,1,0,0,50,1.0
24,1.0,308285,9,9,2,2.0,3,1,1,0,0,40,1.0
49,2.0,355978,15,15,1,1.0,1,1,1,99999,0,35,1.0
47,6.0,308241,9,9,1,5.0,5,1,0,0,0,40,1.0
36,1.0,103925,13,13,2,1.0,2,1,0,0,0,45,5.0
31,1.0,247328,3,3,2,8.0,2,1,1,0,0,30,8.0
48,2.0,196707,16,16,1,1.0,1,1,1,99999,0,60,1.0
49,1.0,194962,7,7,1,6.0,5,1,0,0,0,6,1.0
36,1.0,284616,10,10,1,3.0,1,1,1,0,0,40,1.0
27,1.0,339956,9,9,1,8.0,1,2,1,0,0,60,1.0
19,3.0,243960,10,10,2,5.0,3,1,0,0,0,16,1.0
36,1.0,214031,6,6,1,8.0,1,1,1,0,0,80,1.0
31,2.0,235237,10,10,1,5.0,1,2,1,0,0,60,1.0
26,1.0,302097,9,9,1,7.0,1,1,1,3464,0,48,1.0
33,1.0,190772,9,9,2,4.0,2,1,0,0,1617,40,1.0
22,1.0,243178,13,13,2,4.0,3,1,1,0,0,20,1.0
48,2.0,49275,10,10,1,11.0,1,1,1,0,1485,50,1.0
45,1.0,289353,9,9,1,8.0,1,2,1,0,0,24,1.0
28,1.0,31842,13,13,2,3.0,3,1,1,0,0,40,1.0
47,1.0,71221,9,9,3,7.0,4,1,0,0,0,60,1.0
32,1.0,178623,9,9,2,6.0,2,2,0,0,0,40,3.0
28,1.0,110408,9,9,1,5.0,1,1,1,0,0,45,1.0
25,6.0,181691,9,9,1,5.0,1,1,1,0,0,60,3.0
41,1.0,144925,10,10,3,2.0,2,1,1,0,0,40,1.0
17,1.0,123335,6,6,2,5.0,3,1,0,0,0,20,1.0
34,1.0,301251,13,13,1,5.0,1,1,1,0,0,50,1.0
18,1.0,227529,9,9,2,5.0,3,1,1,0,0,40,1.0
54,1.0,192226,13,13,1,3.0,1,1,1,0,0,55,1.0
24,,184975,9,9,2,,2,1,0,0,0,25,1.0
38,1.0,93287,7,7,1,11.0,1,1,1,0,0,40,1.0
32,1.0,100662,5,5,4,7.0,4,1,0,0,0,40,21.0
31,5.0,163890,10,10,2,10.0,4,2,0,0,0,40,1.0
27,1.0,36851,13,13,2,7.0,2,1,1,0,0,41,1.0
59,3.0,662460,6,6,5,1.0,4,1,0,0,0,15,1.0
26,1.0,176729,13,13,2,2.0,2,1,1,0,0,45,1.0
34,1.0,173854,14,14,3,3.0,2,1,1,27828,0,60,1.0
56,2.0,222182,9,9,1,3.0,1,2,1,0,0,45,1.0
44,1.0,110355,13,13,1,3.0,1,1,1,0,0,40,1.0
18,1.0,115443,7,7,2,9.0,2,1,1,0,0,25,1.0
38,1.0,26987,9,9,3,6.0,4,1,0,0,0,40,1.0
27,1.0,284741,10,10,2,5.0,2,1,0,0,0,30,1.0
33,7.0,198827,9,9,2,2.0,3,1,1,0,0,40,1.0
32,1.0,154087,9,9,1,3.0,1,1,1,0,0,40,1.0
23,1.0,84648,10,10,2,5.0,3,1,0,0,0,25,1.0
26,1.0,421561,7,7,1,6.0,6,1,1,0,0,25,1.0
42,1.0,273230,13,13,1,1.0,1,1,1,0,0,90,1.0
54,1.0,183611,10,10,1,5.0,1,1,1,3137,0,50,1.0
36,3.0,171482,10,10,1,13.0,1,1,1,0,0,56,1.0
52,3.0,246197,9,9,1,2.0,1,1,1,0,0,40,1.0
23,1.0,433669,12,12,2,4.0,2,1,1,0,0,40,1.0
61,1.0,147845,4,4,1,8.0,1,1,1,0,0,31,1.0
38,2.0,127772,9,9,3,11.0,3,1,1,0,0,50,1.0
25,2.0,259299,10,10,1,2.0,1,1,1,3103,0,50,1.0
42,1.0,119679,9,9,1,7.0,1,1,1,0,1579,42,1.0
43,4.0,134782,12,12,6,6.0,4,1,0,0,0,30,1.0
19,1.0,560804,10,10,2,4.0,3,1,0,0,0,30,1.0
33,1.0,179758,9,9,1,5.0,5,1,0,0,0,20,1.0
46,3.0,141058,9,9,1,3.0,1,1,1,0,0,65,1.0
55,1.0,129173,9,9,2,9.0,2,2,1,0,0,40,1.0
41,1.0,101290,9,9,3,5.0,4,1,0,0,0,40,1.0
73,3.0,249043,14,14,1,3.0,1,1,1,0,0,20,10.0
36,1.0,398931,9,9,3,2.0,2,1,1,0,0,40,1.0
17,1.0,350538,6,6,2,6.0,2,1,1,0,0,25,1.0
53,6.0,135643,13,13,1,4.0,5,3,0,0,0,50,13.0
39,1.0,154641,13,13,1,3.0,1,1,1,0,0,45,1.0
39,1.0,337778,10,10,3,5.0,2,1,1,4650,0,40,1.0
54,6.0,99185,16,16,1,1.0,1,1,1,0,0,50,3.0
49,1.0,56551,5,5,3,2.0,4,1,0,5455,0,45,1.0
20,6.0,83141,9,9,2,2.0,3,1,1,0,0,40,1.0
27,1.0,51025,9,9,2,6.0,2,1,0,0,0,40,1.0
28,1.0,173483,13,13,1,1.0,5,1,0,5013,0,20,1.0
50,4.0,307392,14,14,3,1.0,4,1,0,0,0,40,1.0
38,1.0,296317,9,9,1,7.0,1,1,1,0,0,40,2.0
32,2.0,92531,9,9,3,2.0,4,1,1,0,0,40,1.0
32,1.0,388672,10,10,3,9.0,2,1,1,0,0,16,1.0
30,1.0,118551,13,13,2,5.0,2,1,0,0,0,35,1.0
37,7.0,188069,10,10,1,4.0,1,1,1,0,0,40,4.0
39,1.0,230356,13,13,2,4.0,2,1,0,0,0,40,1.0
21,1.0,186648,6,6,4,7.0,3,1,1,0,0,40,1.0
45,3.0,159816,14,14,1,1.0,5,1,0,0,1977,35,1.0
33,1.0,133278,9,9,2,4.0,3,2,0,0,0,40,1.0
52,4.0,145072,14,14,3,1.0,2,1,0,0,0,40,1.0
23,5.0,190650,13,13,2,10.0,2,3,1,0,0,35,1.0
47,1.0,27624,11,11,2,6.0,2,1,0,0,0,55,1.0
58,2.0,112076,16,16,7,3.0,5,1,0,0,1485,35,1.0
37,3.0,125550,13,13,1,1.0,5,1,0,7688,0,40,1.0
30,1.0,221043,9,9,1,2.0,1,1,1,0,0,35,1.0
52,3.0,175339,13,13,1,13.0,1,1,1,0,0,40,1.0
18,1.0,210828,10,10,2,9.0,3,5,1,0,0,30,1.0
22,5.0,42004,10,10,2,10.0,3,1,1,0,0,30,1.0
46,1.0,273796,9,9,1,8.0,1,1,1,0,0,65,1.0
44,3.0,433705,9,9,1,13.0,1,1,1,0,0,52,1.0
37,4.0,354929,12,12,3,13.0,2,2,1,0,0,38,1.0
38,1.0,309122,6,6,3,7.0,2,1,0,0,0,40,1.0
41,1.0,137126,13,13,1,1.0,1,1,1,0,1977,45,1.0
22,1.0,293324,9,9,2,3.0,2,1,1,0,0,40,1.0
22,1.0,51362,13,13,2,5.0,2,1,0,0,0,16,1.0
29,1.0,161857,9,9,6,6.0,2,5,0,0,0,40,21.0
30,1.0,381645,13,13,2,1.0,2,1,1,0,0,50,1.0
24,1.0,362059,8,8,2,2.0,3,1,1,0,0,32,1.0
59,1.0,107318,9,9,1,8.0,1,1,1,0,0,50,1.0
29,1.0,52199,9,9,6,13.0,2,1,1,0,0,40,1.0
29,1.0,134890,13,13,1,12.0,1,1,1,0,0,40,1.0
21,1.0,231866,9,9,2,11.0,3,1,1,0,0,65,1.0
70,6.0,223275,13,13,1,3.0,1,1,1,0,0,40,1.0
50,3.0,191025,14,14,3,3.0,2,1,0,4650,0,70,1.0
40,1.0,236110,8,8,1,1.0,1,1,1,0,0,40,10.0
44,4.0,165108,14,14,1,1.0,1,1,1,0,0,40,1.0
29,1.0,247507,6,6,2,2.0,2,1,1,0,0,43,1.0
40,1.0,69495,9,9,1,8.0,1,1,1,0,0,40,1.0
26,1.0,142689,13,13,2,1.0,2,1,1,0,0,45,3.0
18,1.0,176653,9,9,2,9.0,3,1,1,0,0,26,1.0
54,7.0,128378,13,13,3,3.0,2,1,1,0,0,40,1.0
37,1.0,112271,7,7,1,2.0,1,1,1,0,0,40,1.0
45,3.0,132563,15,15,3,1.0,4,2,0,0,1726,40,1.0
30,2.0,196342,10,10,2,5.0,3,1,1,0,0,25,1.0
27,1.0,122922,13,13,2,5.0,2,1,0,0,0,40,1.0
28,1.0,107411,9,9,2,3.0,2,1,0,0,0,45,1.0
20,5.0,41356,12,12,2,10.0,2,1,0,0,0,32,1.0
26,3.0,192213,14,14,2,1.0,2,1,0,0,0,40,7.0
29,1.0,178469,9,9,2,5.0,2,1,0,0,0,40,1.0
38,4.0,143774,10,10,4,3.0,2,1,0,0,0,45,1.0
46,1.0,126513,9,9,4,2.0,4,2,0,0,0,40,3.0
36,1.0,32958,10,10,4,4.0,6,1,0,0,0,40,1.0
57,1.0,142076,9,9,1,7.0,1,1,1,4386,0,40,1.0
43,1.0,167599,7,7,1,9.0,5,1,0,0,0,25,1.0
26,1.0,185885,12,12,2,12.0,6,1,0,0,0,20,1.0
28,1.0,271572,5,5,2,6.0,6,1,1,0,0,52,1.0
43,6.0,240504,10,10,1,3.0,1,1,1,0,0,70,1.0
40,1.0,294708,9,9,1,8.0,1,2,1,0,0,40,1.0
28,1.0,182509,10,10,2,9.0,2,1,1,0,0,35,1.0
77,2.0,71676,10,10,5,4.0,2,1,0,0,1944,1,1.0
37,6.0,328466,10,10,1,3.0,1,1,1,0,0,50,1.0
33,5.0,216908,6,6,2,10.0,6,1,1,0,0,40,1.0
35,1.0,108946,9,9,3,12.0,4,1,0,0,0,40,1.0
25,1.0,404616,13,13,1,3.0,1,1,1,0,0,40,1.0
28,1.0,282389,9,9,2,8.0,2,1,1,0,0,60,1.0
43,1.0,249771,9,9,1,8.0,1,3,1,0,0,99,1.0
41,1.0,407425,8,8,3,7.0,2,2,0,0,0,40,1.0
51,1.0,173754,9,9,1,8.0,1,1,1,0,0,40,1.0
34,1.0,314375,11,11,3,2.0,2,1,1,0,0,40,1.0
29,1.0,184078,9,9,2,6.0,6,1,0,0,0,40,1.0
66,1.0,127139,13,13,1,1.0,1,1,1,0,0,40,1.0
26,1.0,49092,9,9,1,2.0,1,1,1,0,0,40,1.0
41,6.0,240900,7,7,1,3.0,1,1,1,0,0,40,1.0
40,1.0,385266,10,10,1,7.0,1,1,1,0,0,40,1.0
28,1.0,69107,9,9,1,9.0,1,2,1,0,0,40,1.0
18,5.0,78567,10,10,2,10.0,3,1,1,0,0,30,1.0
47,5.0,89806,10,10,3,10.0,2,4,0,0,0,35,1.0
45,1.0,86505,10,10,3,5.0,2,1,1,0,0,40,1.0
25,1.0,235795,12,12,2,5.0,2,1,1,0,0,48,1.0
38,4.0,87282,11,11,2,4.0,4,3,0,0,0,40,1.0
31,1.0,115963,7,7,1,7.0,1,1,1,0,0,40,1.0
50,6.0,101094,14,14,1,5.0,1,1,1,0,0,55,1.0
50,,339547,10,10,1,,1,3,1,0,0,50,
36,1.0,256636,9,9,3,3.0,2,1,1,0,0,40,1.0
51,1.0,56915,9,9,1,2.0,1,4,1,0,0,40,1.0
50,1.0,109277,5,5,1,7.0,1,1,1,0,0,48,1.0
20,1.0,133061,10,10,2,8.0,6,1,1,0,0,40,1.0
34,1.0,232475,10,10,3,3.0,2,1,1,0,0,50,1.0
20,5.0,293136,10,10,2,10.0,3,1,0,0,0,35,1.0
35,1.0,46947,10,10,3,4.0,2,1,0,0,0,45,1.0
32,1.0,96016,13,13,2,1.0,2,1,1,0,0,40,1.0
42,1.0,198316,11,11,3,2.0,2,1,1,0,0,35,1.0
51,3.0,174861,10,10,1,13.0,1,1,1,0,0,40,1.0
38,1.0,50149,10,10,2,6.0,2,1,0,0,0,30,1.0
41,3.0,248406,9,9,4,8.0,3,1,1,0,0,40,1.0
39,1.0,380614,10,10,3,1.0,2,1,0,0,0,45,1.0
30,1.0,112358,13,13,1,6.0,1,1,1,0,0,60,1.0
22,1.0,102684,10,10,2,8.0,2,1,1,0,0,32,1.0
25,1.0,54298,9,9,1,5.0,1,1,1,0,0,30,1.0
